#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Solver Configuration
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
solver name          = SGA-64
random seed          = 123
number of runs       = 100

solver type         = GA
stop criteria       = MaxGeneration 101

problem name        = bits.OneMax 128
population type     = SimplePopulation 64

selection           = MTournamentSelection 2.0 2
recombination       = Uniform 0.75 0.5
mutation            = FlipBit -1.0
replacement         = TournamentReplacement
rescaling           = AdaptiveCeiling 1.5

statistic           = Generation
statistic           = Individuals
statistic           = SucessRate
statistic           = Time
statistic           = FunctionCalls

#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Solver Evolution 
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
Result                         Generation          Individuals           SucessRate                 Time        FunctionCalls
STATISTIC 39                          40                    0                   40                   40                   40                   40                   40  		                  64                    0                   64                   64                   64                   64                   64  		                0.01                  0.1                    0                    0                    1                    0                    0  		            13509.95    271.5483242891446                12724                13521                14145                13426                13630  		             4448.17   26.258256998609045                 4389                 4451                 4509                 4428                 4469  		
STATISTIC 40                          41                    0                   41                   41                   41                   41                   41  		                  64                    0                   64                   64                   64                   64                   64  		                0.03   0.1714466079977653                    0                    0                    1                    0                    0  		            13819.87    257.3502763695594                13099                13880                14474                13724                13896  		             4559.19    26.18376974350442                 4500                 4558                 4621                 4541                 4580  		
STATISTIC 41                          42                    0                   42                   42                   42                   42                   42  		                  64                    0                   64                   64                   64                   64                   64  		                0.07   0.2564323999762428                    0                    0                    1                    0                    0  		            14028.14    282.1656158136281                13192                14054                14679                13929                14164  		             4669.96   26.092655416193423                 4611                 4668                 4730                 4651                 4689  		
STATISTIC 42                          43                    0                   43                   43                   43                   43                   43  		                  64                    0                   64                   64                   64                   64                   64  		                0.08  0.27265992434429076                    0                    0                    1                    0                    0  		            14373.85   277.81729971368236                13508                14445                15071                14274                14523  		             4781.39   26.430352539327775                 4724                 4780                 4844                 4762                 4801  		
STATISTIC 43                          44                    0                   44                   44                   44                   44                   44  		                  64                    0                   64                   64                   64                   64                   64  		                0.15   0.3588702812826367                    0                    0                    1                    0                    0  		            14666.12   258.38282145734127                13789                14775                15165                14602                14791  		             4892.07   26.499573085989248                 4836                 4893                 4964                 4874                 4911  		
STATISTIC 44                          45                    0                   45                   45                   45                   45                   45  		                  64                    0                   64                   64                   64                   64                   64  		                 0.2  0.40201512610368484                    0                    0                    1                    0                    0  		            14923.04    285.6354928006607                14095                14969                15595                14766                15079  		             5003.13   26.960747749113732                 4949                 5004                 5075                 4984                 5024  		
STATISTIC 45                          46                    0                   46                   46                   46                   46                   46  		                  64                    0                   64                   64                   64                   64                   64  		                0.24  0.42923469599092784                    0                    0                    1                    0                    0  		            15230.88     278.075212556599                14376                15251                15875                15157                15392  		             5113.74   27.760381623394082                 5051                 5114                 5189                 5096                 5134  		
STATISTIC 46                          47                    0                   47                   47                   47                   47                   47  		                  64                    0                   64                   64                   64                   64                   64  		                0.35   0.4793724854411023                    0                    0                    1                    0                    1  		            15537.77   291.58826149626634                14673                15583                16017                15460                15777  		             5225.05   28.481918772612513                 5161                 5225                 5299                 5206                 5246  		
STATISTIC 47                          48                    0                   48                   48                   48                   48                   48  		                  64                    0                   64                   64                   64                   64                   64  		                0.45                  0.5                    0                    0                    1                    0                    1  		            15889.88   280.55022705213366                14990                15975                16443                15755                16052  		             5336.42   28.433576680214387                 5269                 5339                 5408                 5317                 5357  		
STATISTIC 48                          49                    0                   49                   49                   49                   49                   49  		                  64                    0                   64                   64                   64                   64                   64  		                0.51   0.5024183937956913                    0                    1                    1                    0                    1  		            16207.47    262.2232626883968                15509                16196                16884                16134                16306  		             5447.82   29.249667182813248                 5378                 5450                 5519                 5427                 5472  		
STATISTIC 49                          50                    0                   50                   50                   50                   50                   50  		                  64                    0                   64                   64                   64                   64                   64  		                0.58   0.4960449637488582                    0                    1                    1                    0                    1  		            16501.86   275.65983356012003                15699                16543                17168                16402                16636  		             5558.65   29.815044334813066                 5485                 5561                 5627                 5536                 5581  		
STATISTIC 50                          51                    0                   51                   51                   51                   51                   51  		                  64                    0                   64                   64                   64                   64                   64  		                0.63  0.48523658709390977                    0                    1                    1                    0                    1  		               16790   277.35667879596355                15965                16855                17418                16684                16933  		             5668.98   30.597081791272178                 5588                 5668                 5735                 5649                 5690  		
STATISTIC 51                          52                    0                   52                   52                   52                   52                   52  		                  64                    0                   64                   64                   64                   64                   64  		                0.64   0.4824181513244218                    0                    1                    1                    0                    1  		            17152.05    261.5468892044508                16409                17206                17800                17049                17237  		             5779.46    31.48654354234465                 5700                 5778                 5853                 5758                 5800  		
STATISTIC 52                          53                    0                   53                   53                   53                   53                   53  		                  64                    0                   64                   64                   64                   64                   64  		                0.71   0.4560480215720687                    0                    1                    1                    0                    1  		            17382.15    281.5386431304903                16559                17450                17949                17215                17559  		             5891.48    31.57562031029926                 5814                 5893                 5961                 5870                 5911  		
STATISTIC 53                          54                    0                   54                   54                   54                   54                   54  		                  64                    0                   64                   64                   64                   64                   64  		                0.75   0.4351941398892446                    0                    1                    1                    1                    1  		            17683.82   268.36758222986293                16887                17715                18216                17527                17840  		             6002.24    31.46847709220671                 5923                 6003                 6070                 5980                 6023  		
