AVG                            Generation          Individuals           SucessRate                 Time        FunctionCalls
MuGA-64                               100               120.33                    1             31843.31              9973.98
SGA-64                                100                   64                    1             31380.53             11113.95
SGA-128                               100                  128                    1             31175.44             11114.41

#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
STD                            Generation          Individuals           SucessRate                 Time        FunctionCalls
MuGA-64                                 0   4.4586880346016615                    0   162.16948952662818    93.00895796974082
SGA-64                                  0                    0                    0    282.0986092726661    40.70821896016935
SGA-128                                 0                    0                    0   143.82419964677098    43.47647570122645

#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
                                   GENERATION                                    
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
Generation                        MuGA-64               SGA-64              SGA-128 
             SGA-128   .    .    .    0     1                SGA-128   .    .    .    0     1                SGA-128    NaN    NaN    NaN


#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
                                      TIME                                       
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
Time                              MuGA-64               SGA-64              SGA-128 
                Mean             31843.31             31380.53             31175.44 
                 Std   162.16948952662818    282.0986092726661   143.82419964677098 
             Minimum                31624                30531                30936 
              Median                31858                31515                31108 
             Maximum                32187                31890                31389 

            Solver 0                32187                31890                30936 
            Solver 1                32124                31811                31030 
            Solver 2                32124                31827                31046 
            Solver 3                32093                31811                30984 
            Solver 4                32093                31827                31046 
            Solver 5                32093                31811                31046 
            Solver 6                32077                30531                30968 
            Solver 7                31640                31796                31046 
            Solver 8                32077                30531                31046 
            Solver 9                31640                30546                30968 
           Solver 10                32077                31125                31062 
           Solver 11                31640                31125                31062 
           Solver 12                32077                31140                30984 
           Solver 13                31640                31140                30984 
           Solver 14                32077                31155                31000 
           Solver 15                32062                31155                31062 
           Solver 16                31624                31155                31062 
           Solver 17                32062                31155                31000 
           Solver 18                32062                31171                31062 
           Solver 19                32030                31171                31015 
           Solver 20                31624                31171                31077 
           Solver 21                32030                31171                31015 
           Solver 22                31624                31187                31061 
           Solver 23                31640                31187                31061 
           Solver 24                32030                31187                31015 
           Solver 25                32015                31187                31015 
           Solver 26                31640                31187                31015 
           Solver 27                32015                31187                31031 
           Solver 28                31640                31187                31031 
           Solver 29                32015                31187                31031 
           Solver 30                31640                31218                31077 
           Solver 31                31999                31218                31031 
           Solver 32                31984                31218                31031 
           Solver 33                31984                31218                31077 
