#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Solver Configuration
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
solver name          = DefaultSolver
random seed          = 123
number of runs       = 1

solver type         = GA
stop criteria       = MaxEvaluations 500000.0

problem name        = real.multimodal.Vincent 2
population type     = MultiPopulation 64

selection           = NoSelection
recombination       = real.MuAX 0.75 0.5
mutation            = real.MuGauss -1.0 0.01
replacement         = ClearingBest
rescaling           = AdaptiveCeiling 1.5

statistic           = Generation
statistic           = PeekRatio
statistic           = PeekSucessRate
statistic           = PeeksFound
statistic           = PeeksFuncsCall
statistic           = FunctionCalls

#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
# Solver Evolution 
#::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::::
#START_TIME 2020/02/04 17:39:03:146
START_TIME 1580837943146
RUNNING_TIME 0
                               Generation            PeekRatio       PeekSucessRate           PeeksFound       PeeksFuncsCall        FunctionCalls
STATISTIC 227                        3298   0.8333333333333334                    0                   30                    0               378547
STATISTIC 228                        3313   0.8333333333333334                    0                   30                    0               380288
STATISTIC 229                        3327   0.8333333333333334                    0                   30                    0               381944
STATISTIC 230                        3342   0.8333333333333334                    0                   30                    0               383685
STATISTIC 231                        3356   0.8333333333333334                    0                   30                    0               385330
STATISTIC 232                        3371   0.8333333333333334                    0                   30                    0               387034
STATISTIC 233                        3385   0.8333333333333334                    0                   30                    0               388696
STATISTIC 234                        3400   0.8333333333333334                    0                   30                    0               390430
STATISTIC 235                        3414   0.8333333333333334                    0                   30                    0               392067
STATISTIC 236                        3429   0.8333333333333334                    0                   30                    0               393828
STATISTIC 237                        3444   0.8333333333333334                    0                   30                    0               395580
STATISTIC 238                        3458   0.8333333333333334                    0                   30                    0               397240
STATISTIC 239                        3473   0.8333333333333334                    0                   30                    0               399007
STATISTIC 240                        3487   0.8333333333333334                    0                   30                    0               400691
STATISTIC 241                        3502   0.8333333333333334                    0                   30                    0               402408
STATISTIC 242                        3516   0.8333333333333334                    0                   30                    0               403982
STATISTIC 243                        3531   0.8333333333333334                    0                   30                    0               405691
STATISTIC 244                        3545   0.8333333333333334                    0                   30                    0               407275
STATISTIC 245                        3560   0.8333333333333334                    0                   30                    0               409038
STATISTIC 246                        3574   0.8333333333333334                    0                   30                    0               410676
STATISTIC 247                        3589   0.8333333333333334                    0                   30                    0               412386
STATISTIC 248                        3603   0.8333333333333334                    0                   30                    0               413983
STATISTIC 249                        3618   0.8333333333333334                    0                   30                    0               415717
STATISTIC 250                        3632   0.8333333333333334                    0                   30                    0               417341
STATISTIC 251                        3647   0.8333333333333334                    0                   30                    0               419014
STATISTIC 252                        3662   0.8333333333333334                    0                   30                    0               420748
STATISTIC 253                        3676   0.8333333333333334                    0                   30                    0               422358
STATISTIC 254                        3691   0.8333333333333334                    0                   30                    0               424052
STATISTIC 255                        3705   0.8333333333333334                    0                   30                    0               425657
STATISTIC 256                        3720   0.8333333333333334                    0                   30                    0               427407
STATISTIC 257                        3734   0.8333333333333334                    0                   30                    0               429065
STATISTIC 258                        3749   0.8333333333333334                    0                   30                    0               430820
STATISTIC 259                        3763   0.8333333333333334                    0                   30                    0               432431
STATISTIC 260                        3778   0.8333333333333334                    0                   30                    0               434197
STATISTIC 261                        3792   0.8333333333333334                    0                   30                    0               435815
STATISTIC 262                        3807   0.8333333333333334                    0                   30                    0               437523
STATISTIC 263                        3821   0.8333333333333334                    0                   30                    0               439130
STATISTIC 264                        3836   0.8333333333333334                    0                   30                    0               440872
STATISTIC 265                        3850   0.8333333333333334                    0                   30                    0               442527
STATISTIC 266                        3865   0.8333333333333334                    0                   30                    0               444306
STATISTIC 267                        3879   0.8333333333333334                    0                   30                    0               445946
STATISTIC 268                        3894   0.8333333333333334                    0                   30                    0               447731
STATISTIC 269                        3909   0.8333333333333334                    0                   30                    0               449509
STATISTIC 270                        3923   0.8333333333333334                    0                   30                    0               451143
STATISTIC 271                        3938   0.8333333333333334                    0                   30                    0               452876
STATISTIC 272                        3952   0.8333333333333334                    0                   30                    0               454517
STATISTIC 273                        3967   0.8333333333333334                    0                   30                    0               456277
STATISTIC 274                        3981   0.8333333333333334                    0                   30                    0               457889
STATISTIC 275                        3996   0.8333333333333334                    0                   30                    0               459619
STATISTIC 276                        4010   0.8333333333333334                    0                   30                    0               461248
STATISTIC 277                        4025   0.8333333333333334                    0                   30                    0               462960
STATISTIC 278                        4039   0.8333333333333334                    0                   30                    0               464621
STATISTIC 279                        4054   0.8333333333333334                    0                   30                    0               466380
STATISTIC 280                        4068   0.8333333333333334                    0                   30                    0               467955
STATISTIC 281                        4083   0.8333333333333334                    0                   30                    0               469721
STATISTIC 282                        4097   0.8333333333333334                    0                   30                    0               471361
STATISTIC 283                        4112   0.8333333333333334                    0                   30                    0               473079
STATISTIC 284                        4127   0.8333333333333334                    0                   30                    0               474844
STATISTIC 285                        4141   0.8333333333333334                    0                   30                    0               476442
STATISTIC 286                        4156   0.8333333333333334                    0                   30                    0               478219
STATISTIC 287                        4170   0.8333333333333334                    0                   30                    0               479850
STATISTIC 288                        4185   0.8333333333333334                    0                   30                    0               481540
STATISTIC 289                        4199   0.8333333333333334                    0                   30                    0               483117
STATISTIC 290                        4214   0.8333333333333334                    0                   30                    0               484832
STATISTIC 291                        4228   0.8333333333333334                    0                   30                    0               486468
STATISTIC 292                        4243   0.8333333333333334                    0                   30                    0               488219
STATISTIC 293                        4257   0.8333333333333334                    0                   30                    0               489854
STATISTIC 294                        4272   0.8333333333333334                    0                   30                    0               491652
STATISTIC 295                        4286   0.8333333333333334                    0                   30                    0               493296
STATISTIC 296                        4301   0.8333333333333334                    0                   30                    0               495068
STATISTIC 297                        4315   0.8333333333333334                    0                   30                    0               496691
STATISTIC 298                        4330   0.8333333333333334                    0                   30                    0               498420
STATISTIC 299                        4344   0.8333333333333334                    0                   30                    0               500042

HALL OF FAME
[ 2] 1.000000E+00 = Vincent(    4.111207154238284    4.111207133730617  ) OPTIMUM 
[ 5] 1.000000E+00 = Vincent(    7.706275976657373    2.193257489554682  ) OPTIMUM 
[ 2] 1.000000E+00 = Vincent(    4.111207763803518    7.706277359600774  ) OPTIMUM 
[ 3] 1.000000E+00 = Vincent(    7.706277438491649    4.111205120220019  ) OPTIMUM 
[ 3] 1.000000E+00 = Vincent(    2.193289350661881   2.1932787604765216  ) OPTIMUM 
[ 2] 1.000000E+00 = Vincent(    7.706277376075741    7.706277241313078  ) OPTIMUM 
[ 5] 9.999989E-01 = Vincent(    7.706400928534762    0.624360450088062  ) OPTIMUM 
[ 3] 1.000000E+00 = Vincent(   2.1933066421213887    4.111210211986229  ) OPTIMUM 
[ 3] 1.000000E+00 = Vincent(    4.111201072766306   1.1700752985978395  ) OPTIMUM 
[ 3] 1.000000E+00 = Vincent(    2.193285178435585    7.706249876730039  ) OPTIMUM 
[ 3] 9.999995E-01 = Vincent(   1.1699291691530807    7.706265847128092  ) OPTIMUM 
[ 4] 9.998343E-01 = Vincent(  0.33387204190760755    4.112339298264671  ) OPTIMUM 
     9.999900E-01 = Vincent(   0.6246163115041025    7.707250524251018  ) OPTIMUM 
[ 2] 1.000000E+00 = Vincent(    4.111245799754017   2.1932961976424425  ) OPTIMUM 
[ 2] 9.999909E-01 = Vincent(   2.1925570818675317   1.1706813469753752  ) OPTIMUM 
[ 3] 9.999950E-01 = Vincent(   0.6240375086001357   2.1939921585995537  ) OPTIMUM 
[ 4] 9.999900E-01 = Vincent(    1.169350106193889     4.11120430473071  ) OPTIMUM 
[ 2] 9.999784E-01 = Vincent(    4.110904399397573   0.3333271835370901  ) OPTIMUM 
[ 3] 9.999730E-01 = Vincent(   2.1910856462033417   0.6244008871131435  ) OPTIMUM 
[ 2] 9.999980E-01 = Vincent(    7.706820456915565   0.3329260353011245  ) OPTIMUM 
[ 2] 9.999990E-01 = Vincent(    7.704776651063342   1.1701317604483976  ) OPTIMUM 
[ 3] 9.999996E-01 = Vincent(    4.111175781618019   0.6243101580579243  ) OPTIMUM 
[ 2] 9.999783E-01 = Vincent(   2.1914093915484596  0.33289466891240416  ) OPTIMUM 
[ 3] 9.999992E-01 = Vincent(   0.3329607663688749    7.706304054516866  ) OPTIMUM 
[ 4] 9.999835E-01 = Vincent(   0.6243188543701975    4.114491001428789  ) OPTIMUM 
[ 2] 9.999973E-01 = Vincent(   1.1701987699361842   2.1939732509870646  ) OPTIMUM 
